country,id,series,shot,year,month,day,time,site,lat,lon,height,groundheight,type,purpose,yieldmin,yieldmax,yieldest,yield,seismic,crater
ussr,542,1977,463                 S,1977,7,30,1:57:00,STS-D,49.75056,78.04917,,682,UG-T,WR,0.001,20,7.1,11,5.13,C
ussr,543,1977,463                 SS,1977,7,30,1:57:00,STS-D,49.75056,78.04917,,682,UG-T,WR,0.001,20,,,,C
ussr,544,1977,464 Meteorit-5,1977,8,10,22:00:00,-RU,50.955,110.983,-490,,UG-S,I-SS,8.5,,10,8.5,5,C
ussr,545,1977,465,1977,8,17,4:27:00,STS-D,49.83083,78.11389,,640,UG-T,WR,0.001,20,5.6,8,5.01,C
ussr,546,1977,466 Meteorit-3,1977,8,20,22:00:01,-RU-K,64.108,99.558,-600,,UG-S,I-SS,8.5,,10,8.5,5,C
ussr,547,1977,467                 S,1977,9,1,2:59:58,NZ-NS,73.339,54.619,-600,,UG-T,WR,0.001,20,55,120,5.71,C
ussr,548,1977,467                 SS,1977,9,1,2:59:58,NZ-NS,73.339,54.619,,,UG-T,WR,0.001,20,,,,C
ussr,549,1977,467                 SS,1977,9,1,2:59:58,NZ-NS,73.339,54.619,,,UG-T,WR,0.001,20,,,,C
ussr,550,1977,467                 SS,1977,9,1,2:59:58,NZ-NS,73.339,54.619,,,UG-T,WR,20,150,,0-130?,,C
ussr,551,1977,468                 S,1977,9,5,3:03:00,STS-B,50.05556,78.91417,,,UG-S,WR,20,150,78,78,5.73,
ussr,552,1977,468                 SS,1977,9,5,3:03:00,STS-B,50.05556,78.91417,,,UG-S,FS,0.001,20,,,,
ussr,553,1977,469 Meteorit-4,1977,9,10,16:00:00,-RU,57.251,106.551,-540,,UG-S,I,7.6,,6.6,7.6,4.8,C
ussr,554,1977,470 Galit,1977,9,30,6:59:58,-KZ-BA,47.897,48.161,-1500,,UG-S,I,10,,5.4,10,5,C
ussr,555,1977,471,1977,10,9,10:59:58,NZ-NS,73.409,54.927,-160,,UG-T,WR,0.001,20,4.1,5,4.6,
ussr,556,1977,472,1977,10,14,6:59:59,-KZ-BA,47.909,47.912,-600,,UG-CS,I,0.1,,,0.1,,C
ussr,557,1977,473                 S,1977,10,29,3:07:00,STS-D,49.83417,78.08028,,638,UG-T,WR,0.001,20,23,42,5.6,C
ussr,558,1977,473                 SS,1977,10,29,3:07:00,STS-D,49.83417,78.08028,,638,UG-T,FS,0.001,20,,,,C
ussr,559,1977,474,1977,10,29,3:07:05,STS-B,50.05222,78.98028,,,UG-S,WR,20,150,50,50,5.56,
ussr,560,1977,475,1977,10,30,6:59:59,-KZ-BA,47.909,47.912,-600,,UG-CS,I,0.01,,0.1,0.1,,C
ussr,561,1977,476,1977,11,12,5:11:00,STS-B,50.05222,78.86444,,,UG-S,WR,0.001,20,,,,C
ussr,562,1977,477,1977,11,27,3:57:00,STS-D,49.75444,78.05028,,537,UG-T,WR,0.001,20,,,,
ussr,563,1977,478                 S,1977,11,30,4:07:00,STS-B,49.96722,78.87444,,,UG-S,WR,20,150,70,70,5.89,
ussr,564,1977,478                 SS,1977,11,30,4:07:00,STS-B,49.96722,78.87444,,,UG-S,WR,0.001,20,,,,
ussr,565,1977,479,1977,12,26,4:03,STS-D,49.81083,78.05417,,722,UG-T,WR,0.001,20,,,,C
ussr,566,1977,480                 S,1977,12,26,4:03:00,STS-D,49.80139,78.12833,,752,UG-T,WR,0.001,20,4.3,6,4.91,C
ussr,567,1977,480                 SS,1977,12,26,4:03:00,STS-D,49.80194,78.13056,,711,UG-T,WR,0,0.001,,0.001,,C
ussr,568,1977,480                 SS,1977,12,26,4:03:00,STS-D,49.80194,78.13056,,711,UG-T,WR,0.001,20,,,,C
ussr,569,1977,480                 SS,1977,12,26,4:03:00,STS-D,49.80194,78.13056,,711,UG-T,WR,0.001,20,,,,C
ussr,570,1978,481,1978,3,19,3:47:00,STS-SU,49.945,77.704,,,UG-S,WR,0.001,20,9.4,13,5.19,C
ussr,571,1978,482                 S,1978,3,26,3:57:00,STS-D,49.76194,77.9825,-260,704,UG-T,WR,0.001,20,30,30,5.69,C
ussr,572,1978,482                 SS,1978,3,26,3:57:00,STS-D,49.76194,77.9825,,704,UG-T,WR,0.001,20,,,,C
ussr,573,1978,483                 S,1978,4,22,3:07:00,STS-D,49.75167,78.13167,,579,UG-T,WR,0.001,20,11,20,5.35,C
ussr,574,1978,483                 SS,1978,4,22,3:07:00,STS-D,49.75167,78.13167,,579,UG-T,WR,0.001,20,,,,C
ussr,575,1978,483                 SS,1978,4,22,3:07:00,STS-D,49.75167,78.13167,,579,UG-T,WR,0.001,20,,,,C
ussr,576,1978,484,1978,5,24,3:07:00,STS-D,49.74333,78.05167,,394,UG-T,SE,0,0.001,,0.001,,C
ussr,577,1978,485,1978,5,29,4:57:00,STS-D,49.79139,78.09444,,686,UG-T,WE,0.001,20,2.6,3,4.68,C
ussr,578,1978,486,1978,6,2,,STS-D,49.74333,78.05167,,394,UG-T,SE,0,0.001,,0.001,,C
ussr,579,1978,487,1978,6,11,2:57:00,STS-B,49.91333,78.80194,,,UG-S,WR,20,150,58,58,5.83,
ussr,580,1978,488,1978,7,5,2:47:00,STS-B,49.9,78.86667,,,UG-S,WR,20,150,57,87,5.77,
ussr,581,1978,489                 S,1978,7,28,2:47:00,STS-D,49.755,78.145,,623,UG-T,WR,20,150,27,60,5.75,
ussr,582,1978,489                 SS,1978,7,28,2:47:00,STS-D,49.755,78.145,,623,UG-T,WR,0.001,20,,,,
ussr,583,1978,489                 SS,1978,7,28,2:47:00,STS-D,49.755,78.145,,623,UG-T,WR,0.001,20,,,,
ussr,584,1978,489                 SS,1978,7,28,2:47:00,STS-D,49.755,78.145,,623,UG-T,WR,0.001,20,,,,
ussr,585,1978,489                 SS,1978,7,28,2:47:00,STS-D,49.755,78.145,,623,UG-T,WR,0.001,20,,,,
ussr,586,1978,490 Kraton-4,1978,8,9,18:00:01,-RU,63.678,125.522,-560,,UG-S,I-SS,22,,44,22,5.6,C
ussr,587,1978,491                 S,1978,8,10,7:59:58,NZ-NS,73.291,54.883,,,UG-T,WR,0.001,20,89,180,6.04,
ussr,588,1978,491                 SS,1978,8,10,7:59:58,NZ-NS,73.291,54.883,,,UG-T,WR,0.001,20,,,,
ussr,589,1978,491                 SS,1978,8,10,7:59:58,NZ-NS,73.291,54.883,,,UG-T,WR,0.001,20,,,,
ussr,590,1978,491                 SS,1978,8,10,7:59:58,NZ-NS,73.291,54.883,,,UG-T,WR,0.001,20,,,,
ussr,591,1978,491                 SS,1978,8,10,7:59:58,NZ-NS,73.291,54.883,-500,,UG-T,WR,20,150,,,,
ussr,592,1978,491                 SS,1978,8,10,7:59:58,NZ-NS,73.291,54.883,,,UG-T,FS,0.001,20,,,,
ussr,593,1978,492 Kraton-3,1978,8,24,18:00:00,-RU,65.925,112.338,-577,,UG-S,I-SS,22,,13,22,5.1,
ussr,594,1978,493                 S,1978,8,29,2:37:00,STS-D,49.81333,78.10861,,770,UG-T,WR,0.001,20,9.2,14,5.2,C
ussr,595,1978,493                 SS,1978,8,29,2:37:00,STS-D,49.81333,78.10861,,770,UG-T,WR,0.001,20,,,,C
ussr,596,1978,493                 SS,1978,8,29,2:37:00,STS-D,49.81333,78.10861,,770,UG-T,SE,0,0.001,,0.001,,C
ussr,597,1978,494,1978,8,29,2:37:09,STS-B,50.00611,78.96722,,,UG-S,WR,20,150,119,119,5.9,
ussr,598,1978,495,1978,9,12,4:59:59,-KZ-BA,47.909,47.912,-600,,UG-CS,I,0.08,,,0.08,,C
ussr,599,1978,496,1978,9,15,2:37:00,STS-B,49.92833,78.86167,,,UG-S,WR,20,150,81,81,5.89,
ussr,600,1978,497,1978,9,20,5:03:00,STS-D,49.79861,78.15,,660,UG-T,WE,0.001,20,1.1,1.1,4.3,
ussr,601,1978,498 Kraton-2,1978,9,21,15:00:00,-RU-K,66.598,86.21,-890,,UG-S,I-SS,15,,17,15,5.2,C
ussr,602,1978,499                 S,1978,9,27,2:04:59,NZ-NS,73.349,54.676,-350,,UG-T,WR,20,150,44,60,5.63,C
ussr,603,1978,499                 SS,1978,9,27,2:04:59,NZ-NS,73.349,54.676,,,UG-T,WR,0.001,20,,,,C
ussr,604,1978,499                 SS,1978,9,27,2:04:59,NZ-NS,73.349,54.676,,,UG-T,WR,0.001,20,,,,C
ussr,605,1978,499                 SS,1978,9,27,2:04:59,NZ-NS,73.349,54.676,,,UG-T,WR,0.001,20,,,,C
ussr,606,1978,499                 SS,1978,9,27,2:04:59,NZ-NS,73.349,54.676,,,UG-T,WR,0.001,20,,,,C
ussr,607,1978,499                 SS,1978,9,27,2:04:59,NZ-NS,73.349,54.676,,,UG-T,WR,0.001,20,,,,C
ussr,608,1978,499                 SS,1978,9,27,2:04:59,NZ-NS,73.349,54.676,,,UG-T,SE,0,0.001,,0.001,,C
ussr,609,1978,500 Vyatka,1978,10,8,0:00,-RU-YK,61.55,112.85,-1545,,UG-S,I-OS,15,,17,15,5.2,C
ussr,610,1978,501,1978,10,15,5:37:00,STS-D,49.73667,78.11111,,645,UG-T,WE,0.001,20,7.6,12,5.15,C
ussr,611,1978,502 Galit           S,1978,10,17,4:59:59,-KZ-BA,47.85,48.12,-1040,,UG-S,I-CV,20,150,56,56,5.8,C
ussr,612,1978,502 Galit           SS,1978,10,17,4:59:59,-KZ-BA,47.85,48.12,,,UG-S,I-CV,0.001,20,18,18,,C
ussr,613,1978,503 Kraton-1,1978,10,17,14:00:00,-RU-T,63.185,63.432,-593,,UG-S,I-SS,22,,10,22,5.5,C
ussr,614,1978,504,1978,10,31,4:17:00,STS-D,49.78861,78.1075,,638,UG-T,FS,0.001,20,80,16,5.25,C
ussr,615,1978,505                 S,1978,11,4,5:06:00,STS-B,50.04167,78.94722,,,UG-S,WR,20,150,44,44,5.56,C
ussr,616,1978,505                 SS,1978,11,4,5:06:00,STS-B,50.04167,78.94722,,,UG-S,WR,0.001,20,,,,C
ussr,617,1978,506                 S,1978,11,29,4:33:00,STS-B,49.95333,78.79528,,,UG-S,WR,20,150,101,101,5.21,
ussr,618,1978,506                 SS,1978,11,29,4:33:00,STS-B,49.95333,78.79528,,,UG-S,WR,0.001,20,,,,
ussr,619,1978,507,1978,11,29,4:33:05,STS-D,49.78333,78.01556,,750,UG-T,WR,0.001,20,11,110,5.96,C
ussr,620,1978,508,1978,11,30,7:59:59,-KZ-BA,47.909,47.912,-600,,UG-CS,I,0.06,,0.006,0.006,,C
ussr,621,1978,509,1978,12,14,4:43:00,STS-D,49.81583,78.10667,,768,UG-T,WR,0.001,20,2.9,4,4.74,
ussr,622,1978,510 Galit,1978,12,18,7:59:59,-KZ-BA,47.86,48.16,-630,,UG-S,I-CV,103,,45,103,5.9,C
ussr,623,1978,511                 S,1978,12,20,4:33:00,STS-D,49.81083,78.05417,,722,UG-T,WR,0.001,20,2.6,3.5,4.71,
ussr,624,1978,511                 SS,1978,12,20,4:33:00,STS-D,49.81083,78.05417,,722,UG-T,WR,0.001,20,,,,
ussr,625,1979,512,1979,1,10,8:00:00,-KZ-BA,47.909,47.912,-600,,UG-CS,I-CV,0.5,,1.4,0.5,,C
ussr,626,1979,513 Galit           S,1979,1,17,7:59:59,-KZ-BA,47.92,48.12,-1000,,UG-S,I-CV,0.001,20,12,12,6,
ussr,627,1979,513                 SS,1979,1,17,7:59:59,-KZ-BA,47.92,48.12,,,UG-S,I-CV,20,150,56,56,,
ussr,628,1979,514,1979,2,1,4:13:00,STS-B,50.08083,78.85333,,,UG-S,WR,0.001,20,18,18,5.29,
ussr,629,1979,515                 S,1979,2,16,4:04:01,STS-SU,49.974,77.668,,,UG-S,WR,0.001,20,15,23,5.39,
ussr,630,1979,515                 SS,1979,2,16,4:04:01,STS-SU,49.974,77.668,,,UG-S,WR,0.001,20,,,,
ussr,631,1979,516,1979,3,23,,STS-D,49.81,78.17139,,602,UG-T,SE,0,0.001,,0.001,,C
ussr,632,1979,517,1979,4,10,,STS-D,49.81,78.17139,,602,UG-T,SE,0,0.001,,0.001,,C
ussr,633,1979,518                 S,1979,5,6,3:17:00,STS-D,49.76194,77.9825,,704,UG-T,WR,0.001,20,9,15,5.22,C
ussr,634,1979,518                 SS,1979,5,6,3:17:00,STS-D,49.76194,77.9825,,704,UG-T,WR,0.001,20,,,,C
ussr,635,1979,519                 S,1979,5,31,5:55:00,STS-D,49.81278,78.05944,,745,UG-T,WR,0.001,20,10,17,5.27,C
ussr,636,1979,519                 SS,1979,5,31,5:55:00,STS-D,49.81278,78.05944,,745,UG-T,WR,0.001,20,,,,C
ussr,637,1979,519                 SS,1979,5,31,5:55:00,STS-D,49.81278,78.05944,,745,UG-T,WR,0.001,20,,,,C
ussr,638,1979,519                 SS,1979,5,31,5:55:00,STS-D,49.83417,78.08028,,638,UG-T,WR,0.001,20,,,,C
ussr,639,1979,520,1979,6,12,,STS-D,49.81,78.17139,,602,UG-T,SE,0,0.001,,0.001,,C
ussr,640,1979,521,1979,6,23,2:57:00,STS-B,49.91472,78.84583,,,UG-S,WR,20,150,149,149,6.16,
ussr,641,1979,522                 S,1979,7,7,3:47:00,STS-B,50.03306,78.98917,,,UG-S,WR,20,150,97,97,5.84,C
ussr,642,1979,522                 SS,1979,7,7,3:47:00,STS-B,50.03306,78.98917,,,UG-S,WR,0.001,20,,,,C
ussr,643,1979,523 Galit           S,1979,7,14,4:59:58,-KZ-BA,47.88,48.12,-980,,UG-S,I-CV,0.001,20,21,7,5.6,C
ussr,644,1979,523 Galit           SS,1979,7,14,4:59:58,-KZ-BA,47.88,48.12,,,UG-S,I-CV,0.001,20,,7,,C
ussr,645,1979,523 Galit           SS,1979,7,14,4:59:58,-KZ-BA,47.88,48.12,,,UG-S,I-CV,0.001,20,,7,,C
ussr,646,1979,524,1979,7,18,3:17:05,STS-SU,49.919,77.812,,,UG-S,WR,0.001,20,,12,5.16,C
ussr,647,1979,525,1979,7,18,3:17:05,STS-D,49.77722,78.1125,,600,UG-T,FS,0.001,20,9.2,14,5.2,
ussr,648,1979,526                 S,1979,8,4,3:57:00,STS-B,49.90306,78.88778,,,UG-S,WR,0.001,20,153,150,6.13,
ussr,649,1979,526                 SS,1979,8,4,3:57:00,STS-B,49.90306,78.88778,,,UG-S,WR,20,150,,,,
ussr,650,1979,527 Kimberlit-4,1979,8,12,18:00:00,-RU,61.803,122.43,-980,,UG-S,I-SS,8.5,,8.4,8.5,4.9,C
ussr,651,1979,528                 S,1979,8,18,2:52:00,STS-B,49.94806,78.91889,,,UG-S,WR,20,150,179,150,6.13,C
ussr,652,1979,528                 SS,1979,8,18,2:52:00,STS-B,49.94806,78.91889,,,UG-S,WR,0.001,20,,,,C
ussr,653,1979,529 Kimberlit-3,1979,9,6,18:00:00,-RU-K,64.11,99.562,-600,,UG-S,I-SS,8.5,,8.4,8.5,4.9,C
ussr,654,1979,530 Klivazh,1979,9,16,9:00:00,-UK,48.2,38.3,-900,,UG-M,I,0.3,,,0.3,,C
ussr,655,1979,531                 S,1979,9,24,3:29:59,NZ-NS,73.343,54.672,-500,,UG-T,WR,20,150,55,130,5.77,
ussr,656,1979,531                 SS,1979,9,24,3:29:59,NZ-NS,73.343,54.672,,,UG-T,WR,0.001,20,,,,
ussr,657,1979,531                 SS,1979,9,24,3:29:59,NZ-NS,73.343,54.672,,,UG-T,WR,0.001,20,,,,
ussr,658,1979,532,1979,9,27,4:13:00,STS-D,49.75056,78.04917,,682,UG-T,WE,0.001,20,1.4,1.6,4.42,C
ussr,659,1979,533 Kimberlit-1,1979,10,4,16:00:00,-RU-T,60.675,71.455,-840,,UG-S,I-SS,22,,27,22,5.4,C
ussr,660,1979,534 Sheksna,1979,10,7,21:00:00,-RU-YK,61.85,113.1,-1550,,UG-S,I-OS,15,,10,15,5,C
ussr,661,1979,535                 S,1979,10,18,4:17:00,STS-D,49.82417,78.0975,,659,UG-T,WR,0.001,20,9,15,5.23,
ussr,662,1979,535                 SS,1979,10,18,4:17:00,STS-D,49.82417,78.0975,,659,UG-T,WR,0.001,20,,,,
ussr,663,1979,536                 S,1979,10,18,7:09:59,NZ-NS,73.316,54.816,-500,,UG-T,WR,20,150,70,150,5.85,
ussr,664,1979,536                 SS,1979,10,18,7:09:59,NZ-NS,73.316,54.816,,,UG-T,WR,0.001,20,,,,
ussr,665,1979,536                 SS,1979,10,18,7:09:59,NZ-NS,73.316,54.816,,,UG-T,WR,20,150,,,,
ussr,666,1979,536                 SS,1979,10,18,7:09:59,NZ-NS,73.316,54.816,,,UG-T,WR,0.001,20,,,,
ussr,667,1979,537 Galit           S,1979,10,24,5:59:59,-KZ-BA,47.85,48.14,-850,,UG-S,I-CV,0.001,20,33,3,5.8,C
ussr,668,1979,537 Galit           SS,1979,10,24,5:59:59,-KZ-BA,47.85,48.14,,,UG-S,I-CV,20,150,,30,,C
ussr,669,1979,538                 S,1979,10,28,3:17:00,STS-B,49.99667,78.995,,,UG-S,WR,0.001,20,139,120,5.98,C
ussr,670,1979,538                 SS,1979,10,28,3:17:00,STS-B,49.99667,78.995,,,UG-S,WR,20,150,,,,C
ussr,671,1979,539,1979,11,30,4:53:01,STS-D,49.78306,78.08667,,635,UG-T,WR,0.001,20,1.6,1.6,4.42,C
ussr,672,1979,540                 S,1979,12,2,4:37:00,STS-B,49.90944,78.78444,,,UG-S,WR,0.001,20,93,93,5.99,
ussr,673,1979,540                 SS,1979,12,2,4:37:00,STS-B,49.90944,78.78444,,,UG-S,FS,20,150,,,,
ussr,674,1979,541,1979,12,21,4:42:00,STS-D,49.79222,78.113,,727,UG-T,WR,0.001,20,2.7,3.6,4.71,
ussr,675,1979,542                 S,1979,12,23,4:57:00,STS-B,49.93222,78.75278,,,UG-S,WR,20,150,137,137,6.13,C
ussr,676,1979,542                 SS,1979,12,23,4:57:00,STS-B,49.93222,78.75278,,,UG-S,WR,0.001,20,,,,C
ussr,677,1980,543,1980,3,14,,STS-D,49.82333,78.04167,,677,UG-T,SE,0,0.001,,0.001,,
ussr,678,1980,544,1980,4,4,5:33:00,STS-SU,50,77.823,,,UG-S,WR,0.001,20,6,6,4.9,C
ussr,679,1980,545                 S,1980,4,10,4:07:00,STS-D,49.7825,78.05722,,655,UG-T,WR,0.001,20,5.5,8,4.98,C
ussr,680,1980,545                 SS,1980,4,10,4:07:00,STS-D,49.7825,78.05722,,655,UG-T,WR,0.001,20,,,,C
ussr,681,1980,546                 S,1980,4,25,3:57:00,STS-B,49.97639,78.75944,,,UG-S,WR,0.001,20,19,19,5.45,
ussr,682,1980,546                 SS,1980,4,25,3:57:00,STS-B,49.97639,78.75944,,,UG-S,WR,0.001,20,,,,
ussr,683,1980,547                 S,1980,5,22,3:57:00,STS-D,49.77972,78.03639,,691,UG-T,WR,0.001,20,18,35,5.53,C
ussr,684,1980,547                 SS,1980,5,22,3:57:00,STS-D,49.77972,78.03639,,691,UG-T,WR,0.001,20,,,,C
ussr,685,1980,547                 SS,1980,5,22,3:57:00,STS-D,49.77972,78.03639,,691,UG-T,WR,0.001,20,,,,C
ussr,686,1980,548,1980,6,12,3:27:00,STS-B,49.98872,78.99108,,,UG-S,WR,20,150,37,37,5.52,
ussr,687,1980,549 Butan,1980,6,16,6:00:00,-RU-BK,52.9,56.5,-1400,,UG-S,I-OS,3.2,,,3.2,,C
ussr,688,1980,550 Butan,1980,6,25,6:00:00,-RU-BK,52.9,56.5,-1390,,UG-S,I-OS,3.2,,,3.2,,C
ussr,689,1980,551,1980,6,25,2:27:00,STS-D,49.82583,78.09944,-152,650,UG-T,WR,0.001,20,0.3,0.3,,C
ussr,690,1980,552                 S,1980,6,29,2:33:00,STS-B,49.94861,78.81806,,,UG-S,WR,0.001,20,44,44,5.69,
ussr,691,1980,552                 SS,1980,6,29,2:33:00,STS-B,49.94861,78.81806,,,UG-S,WR,0.001,20,,,,
ussr,692,1980,552                 SS,1980,6,29,2:33:00,STS-B,49.94861,78.81806,,,UG-S,WR,20,150,,,,
ussr,693,1980,553                 S,1980,7,31,3:33:00,STS-D,49.79056,78.09083,,689,UG-T,WR,0.001,20,11,20,5.33,
ussr,694,1980,553                 SS,1980,7,31,3:33:00,STS-D,49.79056,78.09083,,689,UG-T,WR,0.001,20,,,,
ussr,695,1980,554,1980,9,14,2:42:42,STS-B,49.93667,78.7975,,,UG-S,WR,20,150,196,200,6.21,
ussr,696,1980,555 Dynamika,1980,9,25,6:21:13,STS-D,49.78333,78.08056,,663,UG-T,WE,0.001,20,3.3,5,4.83,C
ussr,697,1980,556 Vega-1,1980,10,8,6:00:00,-RU-AS,46.757,48.275,-1025,,UG-S,I-CV,8.5,,8.6,8.5,5.2,C
ussr,698,1980,557                 S,1980,10,11,7:09:57,NZ-NS,73.336,54.94,-600,,UG-T,WR,20,150,130,130,5.76,C
ussr,699,1980,557                 SS,1980,10,11,7:09:58,NZ-NS,73.336,54.94,,,UG-T,WR,0.001,20,,,,C
ussr,700,1980,557                 SS,1980,10,11,7:09:58,NZ-NS,73.336,54.94,,,UG-T,WR,0.001,20,,,,C
ussr,701,1980,557                 SS,1980,10,11,7:09:58,NZ-NS,73.336,54.94,,,UG-T,WR,20,150,55,,,C
ussr,702,1980,557                 SS,1980,10,11,7:09:58,NZ-NS,73.3,54.9,,,UG-T,WR,0.001,20,,,,
ussr,703,1980,557                 SS,1980,10,11,7:09:58,NZ-NS,73.3,54.9,,,UG-T,WR,0.001,20,,,,
ussr,704,1980,557                 SS,1980,10,11,7:09:58,NZ-NS,73.3,54.9,,,UG-T,WR,0.001,20,,,,
ussr,705,1980,558                 S,1980,10,12,3:34:17,STS-B,49.9675,79.0225,-440,,UG-S,WR,20,150,102,102,5.88,300
ussr,706,1980,558                 SS,1980,10,12,3:34:17,STS-B,49.9675,79.0225,-510,,UG-S,WR,20,150,,,,C
ussr,707,1980,559,1980,10,23,3:57:11,STS-D,49.75167,78.13167,,579,UG-T,WR,0.001,20,,,,C
ussr,708,1980,560 Batolit-1,1980,11,1,13:00:00,-RU-K,60.8,97.55,-720,,UG-S,I-SS,8,,17,8,5.2,C
ussr,709,1980,561,1980,12,5,4:17,STS-D,49.75167,78.13167,-36,579,UG-T,WR,0.001,20,0.1,0.1,,
ussr,710,1980,562                 S,1980,12,5,4:17:16,STS-D,49.83083,78.11389,,640,UG-T,WR,0.001,20,,,,
ussr,711,1980,562                 SS,1980,12,5,4:17:16,STS-D,49.83083,78.11389,,640,UG-T,WR,0.001,20,,,,
ussr,712,1980,562                 SS,1980,12,5,4:17:16,STS-D,49.83083,78.11389,,640,UG-T,WR,0.001,20,,,,
ussr,713,1980,563 Angara,1980,12,10,7:00:00,-RU-T,61.75,66.75,-2485,,UG-S,I-OS,15,,4.1,15,4.6,C
ussr,714,1980,564                 S,1980,12,14,3:47:09,STS-B,49.90889,78.91861,,,UG-S,WR,0.001,20,101,101,5.93,
ussr,715,1980,564                 SS,1980,12,14,3:47:09,STS-B,49.90889,78.91861,,,UG-S,WR,0.001,20,,,,
ussr,716,1980,564                 SS,1980,12,14,3:47:09,STS-B,49.90889,78.91861,,,UG-S,WR,20,150,,,,
ussr,717,1980,565,1980,12,26,4:07:09,STS-D,49.82611,78.09194,,660,UG-T,WR,0.001,20,0.97,2,4.5,
ussr,718,1980,566                 S,1980,12,27,4:09:11,STS-B,50.06194,78.97528,,,UG-S,WR,20,150,100,100,5.87,C
ussr,719,1980,566                 SS,1980,12,27,4:09:11,STS-B,50.06194,78.97528,,,UG-S,WR,0.001,20,,,,C
ussr,720,1981,567,1981,3,25,,STS-D,49.82333,78.04167,,677,UG-T,SE,0,0.001,,0.001,,C
ussr,721,1981,568                 S,1981,3,29,4:03:53,STS-B,50.01806,78.97881,,,UG-S,WR,0.001,20,30,30,5.49,C
ussr,722,1981,568                 SS,1981,3,29,4:03:53,STS-B,50.01806,78.97881,,,UG-S,FS,0.001,20,,,,C
ussr,723,1981,568                 SS,1981,3,29,4:03:53,STS-B,50.01806,78.97881,,,UG-S,FS,0.001,20,,,,C
ussr,724,1981,569                 S,1981,4,22,1:17:14,STS-B,49.89889,78.80861,,,UG-S,WR,20,150,92,92,5.94,C
ussr,725,1981,569                 SS,1981,4,22,1:17:14,STS-B,49.89889,78.80861,,,UG-S,WR,0.001,20,,,,C
ussr,726,1981,569                 SS,1981,4,22,1:17:14,STS-B,49.89889,78.80861,,,UG-S,WR,0.001,20,,,,C
ussr,727,1981,570 Pirit,1981,5,25,5:00:00,-RU-A,68.2,53.5,-1511,,UG-S,I-FE,37.6,,34,37.6,5.5,C
ussr,728,1981,571,1981,5,27,3:58:15,STS-B,49.98694,78.97056,,,UG-S,WR,0.001,20,20,20,5.3,
ussr,729,1981,572,1981,6,4,,STS-D,49.82333,78.04167,,677,UG-T,SE,0,0.001,,0.001,,C
ussr,730,1981,573                 S,1981,6,30,1:57:15,STS-D,49.7675,78.08083,,633,UG-T,WR,0.001,20,10,12,5.16,C
ussr,731,1981,573                 SS,1981,6,30,1:57:15,STS-D,49.7675,78.08083,,633,UG-T,WR,0.001,20,,,,C
ussr,732,1981,574,1981,7,17,2:37:18,STS-D,49.80139,78.13139,-146,802,UG-T,WR,0.001,20,9.3,9.3,5.07,
ussr,733,1981,575                 S,1981,8,14,2:27:15,STS-D,49.75222,78.05306,,717,UG-T,WR,0.001,20,5.6,5.6,4.88,
ussr,734,1981,575                 SS,1981,8,14,2:27:15,STS-D,49.75222,78.05306,,717,UG-T,WR,0.001,20,,,,
ussr,735,1981,575                 SS,1981,8,14,2:27:15,STS-D,49.75222,78.05306,,717,UG-T,WR,0.001,20,,,,
ussr,736,1981,576 Geliy-1,1981,9,2,4:00:00,-RU-P,60.6,55.7,-2090,,UG-S,I-OS,3.2,,2.6,3.2,4.4,
ussr,737,1981,577,1981,9,13,2:17:21,STS-B,49.91333,78.89444,,,UG-S,WR,20,150,163,150,6.06,
ussr,738,1981,578 Vega,1981,9,26,5:00:00,-RU-AS,46.79,48.313,-1050,,UG-S,I-CV,8.5,,8.6,8.5,5.2,C
ussr,739,1981,579 Vega,1981,9,26,5:04:00,-RU-AS,46.771,48.304,-1050,,UG-S,I-CV,8.5,,10,8.5,5.3,C
ussr,740,1981,580                 S,1981,10,1,12:14:57,NZ-NS,73.304,54.818,-600,,UG-T,WR,20,150,140,140,5.97,C
ussr,741,1981,580                 SS,1981,10,1,12:14:57,NZ-NS,73.304,54.818,,,UG-T,WR,0.001,20,,,,C
ussr,742,1981,580                 SS,1981,10,1,12:14:57,NZ-NS,73.304,54.818,,,UG-T,WR,0.001,20,,,,C
ussr,743,1981,580                 SS,1981,10,1,12:14:57,NZ-NS,73.304,54.818,,,UG-T,WR,0.001,20,,,,C
ussr,744,1981,581,1981,10,16,,STS-D,49.83417,78.08028,,638,UG-T,SE,0,0.001,,0.001,,C
ussr,745,1981,582                 S,1981,10,18,3:57:05,STS-B,49.92806,78.84472,,,UG-S,WR,20,150,107,107,6,C
ussr,746,1981,582                 SS,1981,10,18,3:57:05,STS-B,49.92806,78.84472,,,UG-S,WR,0.001,20,,,,C
ussr,747,1981,583 Shpat-2,1981,10,22,14:00:00,-RU-K,63.8,97.55,-580,,UG-S,I-SS,8.5,,13,8.5,5.1,C
ussr,748,1981,584                 S,1981,11,20,4:57:05,STS-D,49.73667,78.10417,,620,UG-T,WR,0.001,20,8.2,8,5,
ussr,749,1981,584                 SS,1981,11,20,4:57:05,STS-D,49.73667,78.10417,,620,UG-T,WR,0.001,20,,,,
ussr,750,1981,585                 S,1981,11,29,3:35:11,STS-B,49.90194,78.84889,,,UG-S,WR,0.001,20,31,31,5.62,
ussr,751,1981,585                 SS,1981,11,29,3:35:11,STS-B,49.90194,78.84889,,,UG-S,WR,0.001,20,,,,
